ESPAÑOL,RESPUESTA,MAX_LENGTH,LEVENSHTEIN_DISTANCE,PERCENTAGE_DIFFERENCE
¿Tu hermana tiene hijos?,¿Tienes hijos tu hermana?,25,19,76.0
No fui.,No fui.,7,0,0.0
Ayer fui al hospital.,Fui al hospital ayer.,21,11,52.38095238095239
Mi madre crompró fruta en el supermercado.,Mi madre compró fruta en el supermercado.,42,1,2.380952380952381
Sigue las reglas.,Sigue las reglas.,17,0,0.0
Espero que la policía venga pronto.,Espero que la policía venga pronto.,35,0,0.0
¿Estás cansado?,¿Estás cansado?,15,0,0.0
Mañana iré a la feria.,Mañana voy a la feria.,22,3,13.636363636363635
¿Qué haces?,¿Qué haces?,11,0,0.0
¿Viste a tu amigo?,¿Preguntaste si tu amigo está bien?,35,20,57.14285714285714
¿Viste al médico?,¿Fuiste al médico?,18,2,11.11111111111111
Ayer fuiste a la clínica.,Fuiste a la clínica.,25,6,24.0
Él estudia medicina.,Estudió medicina.,20,5,25.0
Lee una revista mientras esperas.,Lee la revista mientras esperas.,33,2,6.0606060606060606
¿A qué hora comienza la clase?,¿A qué hora empieza la clase?,30,4,13.333333333333334
¿Ya entregaste tu tarea?,¿Ya entregaste la tarea?,24,2,8.333333333333332
Mañana iré al supermercado.,Mañana voy al supermercado.,27,3,11.11111111111111
A ella no le gusta la lluvia.,A ella no le gusta la lluvia.,29,0,0.0
¿Qué cocinas?,¿Qué cocinas?,13,0,0.0
Él cocinó el desayuno.,Él cocinó el desayuno.,22,0,0.0
¿Cuál deporte practicas?,¿Cuál deporte practicas?,24,0,0.0
¿Viste a tu amiga en la florería?,¿Visitaste la florería con tu amiga?,36,23,63.888888888888886
A ella no le gusta el calor.,A ella no le gusta el calor.,28,0,0.0
Cocinaremos la cena.,Nosotros cocinaremos la cena.,29,10,34.48275862068966
Mi hijo es sordo y yo soy oyente.,Mi hijo es sordo y yo soy oyente.,33,0,0.0
¿Es tuya la casa?,¿Dónde es tu casa?,18,10,55.55555555555556
¿Hay fiesta hoy?,¿Hay fiesta hoy?,16,0,0.0
La biblioteca cierra a medianoche.,La biblioteca cerró a medianoche.,34,2,5.88235294117647
¿Dónde estudias?,¿Dónde estudias?,16,0,0.0
No encuentro mis lentes.,No encontré los lentes.,24,5,20.833333333333336
Revisa tus notas antes del examen.,Debes revisar tus notas antes del examen.,41,8,19.51219512195122
No me gusta el fútbol.,No me gusta el fútbol.,22,0,0.0
¿Cómo se llama tu novio?,¿Cómo se llama tu novio?,24,0,0.0
El colegio está cerca del hospital.,El colegio está cerca del hospital.,35,0,0.0
Ayer él fue al hospital.,Él fue al hospital.,24,6,25.0
¿Dónde está mi libro?,¿Dónde está mi libro?,21,0,0.0
Me gusta viajar pero me da miedo volar.,Me gusta viajar pero me da miedo volar.,39,0,0.0
Quiero tener más tiempo libre.,Quiero tener más tiempo libre.,30,0,0.0
¿Cuánto cuesta la entrada?,¿Cuánto cuesta la entrada?,26,0,0.0
Mi hermano es muy inteligente.,Mi hermano es muy inteligente.,30,0,0.0
¿Tomaste agua hoy?,¿Tomaste tu agua hoy?,21,3,14.285714285714285
Ayer ella preparó la comida.,Ella preparó la comida ayer.,28,11,39.285714285714285
No sé nadar.,No sé nadar.,12,0,0.0
Mañana veremos una película en el cine.,Mañana nosotros veremos una película en el cine.,48,9,18.75
Fuiste al mercado para comprar frutas.,Fui al mercado para comprar frutas.,38,3,7.894736842105263
Fui al médico pero no me ayudó.,Fui al médico pero él no me ayudó.,34,3,8.823529411764707
¿El carro ya llegó?,¿Ya llegó el carro?,19,14,73.68421052631578
No podré asistir a la reunión.,No podré asistir a la reunión.,30,0,0.0
¿Cómo se llama tu perro?,¿Cómo se llama tu perro?,24,0,0.0
No me gusta levantarme temprano.,No me gusta levantarme temprano.,32,0,0.0
¿Cómo se llama el restaurante?,¿Cómo se llama el restaurante?,30,0,0.0
Voy a la clínica.,Fui a la clínica.,17,3,17.647058823529413
¿Te gusta el parque?,¿Te gusta el parque?,20,0,0.0
¿Hoy qué almorzaste?,¿Qué almorzaste hoy?,20,9,45.0
El juego es muy divertido.,Me divierto mucho en el juego.,30,22,73.33333333333333
¿Encontraste el cuaderno?,¿Encontraste el cuaderno?,25,0,0.0
¿Estás cerca la panadería?,¿Está la panadería cerca tuyo?,30,18,60.0
Quiero cantar pero no puedo.,Yo quería cantar pero no pude.,30,9,30.0
Haz una lista para no olvidar nada.,Haz tu lista para no olvidar nada.,35,3,8.571428571428571
Después de comer lavo los platos.,Después de comer yo lavo los platos.,36,3,8.333333333333332
¿Cómo estuvo tu comida?,¿Cómo está tu comida?,23,3,13.043478260869565
Quería ir al cine pero había tráfico.,Quería ir al cine pero había mucho tráfico.,43,6,13.953488372093023
Hoy el cine está cerrado.,Hoy el cine está cerrado.,25,0,0.0
Ayer me llamó mi abuelo.,Ayer llamé a mi abuelo.,24,6,25.0
Espero que encuentres tu teléfono.,Espero encontrar tu teléfono pronto.,36,15,41.66666666666667
No escucho música porque soy sordo.,No escucho música porque soy sordo.,35,0,0.0
No salí porque tenía miedo.,No salí porque tenía miedo.,27,0,0.0
Los domingos María recibe clases de canto.,Domingos recibe clases de canto con María.,42,21,50.0
Cuando sea verano iré a la playa.,¿Irás a la playa este verano?,33,27,81.81818181818183
¿Te sientes bien?,¿Te sientes bien?,17,0,0.0
Cocinamos la cena.,Nosotros cocinamos la cena.,27,10,37.03703703703704
Es importante saber matemáticas.,Es importante saber matemáticas.,32,0,0.0
Me gusta la comida guatemalteca.,Me gusta la comida guatemalteca.,32,0,0.0
Mi abuelo vendrá pronto.,Mi abuelo vendrá pronto.,24,0,0.0
No hice la tarea porque se me olvidó.,No hice la tarea porque la olvidé.,37,6,16.216216216216218
Harás la tarea.,¿Haces tu tarea?,16,6,37.5
El estudiante hizo la tarea.,El estudiante hizo la tarea.,28,0,0.0
Todos los días ella practica yoga.,Ella practica yoga todos los días.,34,29,85.29411764705883
Eres buen doctor pero no eres amable.,Eres un buen doctor pero no eres amable.,40,3,7.5
El jefe está enojado.,El jefe está enojado.,21,0,0.0
¿Llamaste a los bomberos?,¿Llamaste a los bomberos para hacer una pregunta?,49,24,48.97959183673469
Habla despacio por favor.,¿Puedes hablar despacio por favor?,34,11,32.35294117647059
¿Tu padre trabaja?,¿Trabajó tu padre?,18,12,66.66666666666666
El gobierno no nos apoya.,El gobierno no nos apoya.,25,0,0.0
Me mudé.,Cambié mi casa.,15,12,80.0
No dormí bien porque había mucho ruido.,No dormí bien porque había mucho ruido.,39,0,0.0
¿Qué vas a hacer esta tarde?,¿Qué hiciste hoy en la tarde?,29,13,44.827586206896555
No conozco a esa persona.,No conozco a esa persona.,25,0,0.0
¿Dónde naciste?,¿Dónde naciste?,15,0,0.0
No comí porque no tenía hambre.,No comí porque no tenía hambre.,31,0,0.0
¿A qué hora sales del trabajo?,¿A qué hora sales del trabajo?,30,0,0.0
No me siento bien hoy.,Hoy me siento bien.,22,6,27.27272727272727
¿Te sientes bien?,¿Te sientes bien?,17,0,0.0
Llamé a mi jefe.,Llamé a mi jefe.,16,0,0.0
Ayer se perdió mi serpiente.,Ayer perdí mi serpiente.,28,5,17.857142857142858
Mañana tengo una cita.,Tengo una cita mañana.,22,15,68.18181818181817
Mi tío vive en una granja.,Mi tío vive en una granja.,26,0,0.0
¿Fuiste al supermercado?,¿Fuiste al supermercado?,24,0,0.0
¿A cuál aeropuerto fuiste?,¿A cuál aeropuerto fuiste?,26,0,0.0
Descansa si te sientes cansado.,¿Te gustaría descansar porque te sientes cansado?,49,22,44.89795918367347
¿Cómo se llama tu maestra?,¿Cómo se llama tu maestra?,26,0,0.0
Terminé la tarea.,Terminé la tarea.,17,0,0.0
¿Dónde estudias?,¿Dónde estudiaste?,18,2,11.11111111111111
Mañana iré a casa.,Voy a ir a casa mañana.,23,13,56.52173913043478
Cocinamos el desayuno.,Cocinamos el desayuno.,22,0,0.0
Te llamé porque necesitaba hablar.,Te llamé porque necesitaba hablar contigo.,42,8,19.047619047619047
Ayer él leyó el libro.,Él leyó un libro ayer.,22,13,59.09090909090909
No estudié porque estaba cansado.,No estudié porque estaba cansado.,33,0,0.0
No hables con extraños.,No entiendes lo que dices.,26,17,65.38461538461539
Él hizo ejercicio.,¿Hizo él el ejercicio?,22,11,50.0
Después de hacer ejercicio tomo agua.,Después de hacer ejercicio tomo agua.,37,0,0.0
No sé usar la computadora.,No sé usar la computadora.,26,0,0.0
¿Hoy fuiste a la piscina?,¿Fuiste a la piscina hoy?,25,9,36.0
Llamé a mi amigo para invitarlo.,Llamé a mi amigo para invitarlo.,32,0,0.0
¿Cuándo aprendiste?,¿Cuándo aprenderás?,19,4,21.052631578947366
Quería ir pero no tenía dinero.,Quise ir pero no tenía dinero.,31,4,12.903225806451612
No como carne.,No como carne.,14,0,0.0
¿Cuántos libros tienes?,¿Cuántas preguntas tiene tu libro?,34,18,52.94117647058824
Yo no trabajo.,No trabajo.,14,4,28.57142857142857
Espero que te sientas mejor pronto.,Espero que te sientas mejor pronto.,35,0,0.0
¿A dónde quieres viajar?,¿Dónde quieres viajar?,24,3,12.5
Él escucha las noticias en el radio.,Él escucha noticias en la radio.,36,6,16.666666666666664
Salí a correr.,Salí a correr.,14,0,0.0
Mientras cocino escucho música.,Escucho música mientras cocino.,31,26,83.87096774193549
Fuiste al parque para caminar.,Fuiste al parque para caminar.,30,0,0.0
No entiendo.,No entiendo.,12,0,0.0
¿Cuándo es tu cumpleaños?,¿Cuándo es tu cumpleaños?,25,0,0.0
Ella estudia inglés.,Ella estudia inglés.,20,0,0.0
Escoge un libro para leer.,¿Qué libro escogiste para leer?,31,19,61.29032258064516
Todas las tardes los niños juegan en el parque.,Todos los días los niños juegan en el parque.,47,7,14.893617021276595
Me gustan los libros de miedo.,Me gustan los libros de miedo.,30,0,0.0
Los bomberos apagaron al incendio.,Los bomberos apagaron el incendio.,34,1,2.941176470588235
¿A qué hora es la reunión?,¿A qué hora es la reunión?,26,0,0.0
No sé tocar el piano.,No sé tocar el piano.,21,0,0.0
Por favor cuando salgas apaga la luz.,Apaga la luz cuando salgas por favor.,37,19,51.35135135135135
¿Compraste el libro?,¿Compraste tu libro?,20,2,10.0
¿Qué quieres?,¿Qué quieres?,13,0,0.0
¿Visitaste el museo?,¿Visitaste el museo?,20,0,0.0
No corras en el pasillo.,No corras por el pasillo.,25,3,12.0
Ayer fuiste al hospital.,Fuiste al hospital.,24,6,25.0
¿Llamaste a los policías?,¿Llamaste a la policía?,25,3,12.0
Ayer ella fue al mercado.,Ella fue al mercado ayer.,25,11,44.0
No me gusta el picante.,No me gusta el picante.,23,0,0.0
Ayer no fui a la universidad.,No fui a la universidad ayer.,29,11,37.93103448275862
Tomé clases para aprender inglés.,Tomé la clase para aprender inglés.,35,4,11.428571428571429
La cena de anoche estuvo deliciosa.,Anoche cené una deliciosa cena.,35,23,65.71428571428571
Mi mamá está enferma.,Mi mamá está enferma.,21,0,0.0
Espero que tengas un buen día.,Espero que tengas un buen día.,30,0,0.0
¿Es grande la biblioteca?,¿La biblioteca es grande?,25,21,84.0
Los viernes mis amigos y yo salimos.,El viernes salí con amigos y yo.,36,19,52.77777777777778
Compra la entrada antes de ir al cine.,Compra tu entrada antes de ir al cine.,38,2,5.263157894736842
¿Hoy comiste pizza?,¿Comiste pizza hoy?,19,9,47.368421052631575
Ayer él durmió en un hotel.,El durmió en un hotel ayer.,27,11,40.74074074074074
Cocinaremos el desayuno.,¿Cocinaremos el desayuno?,25,2,8.0
La tienda de ropa tiene descuentos.,La tienda de ropa tiene descuentos.,35,0,0.0
Espero que mañana no llueva.,Espero que mañana no llueva.,28,0,0.0
Mi papá trabaja en un banco.,Mi papá trabajaba en el banco.,30,4,13.333333333333334
Compré medicina para mi mamá.,Compré medicina para mamá.,29,3,10.344827586206897
¿Él irá a la oficina mañana?,¿Va a ir él a la oficina mañana?,32,7,21.875
¿Tu mamá está en el baño?,¿Está tu mamá en el baño?,25,10,40.0
Antes era grande ahora es pequeño.,Eras grande ahora eres pequeño.,34,10,29.411764705882355
Mi mejor amigo vive en otro país.,Mi mejor amigo vive en otro país.,33,0,0.0
Ellos irán al cine.,Ellos irán al cine.,19,0,0.0
Desayuna bien antes de ir a trabajar.,¿Desayunaste bien antes de ir a trabajar?,41,5,12.195121951219512
La vida de los sordos es muy difícil.,La vida de los sordos es muy difícil.,37,0,0.0
