ESPAÑOL,RESPUESTA,MAX_LENGTH,LEVENSHTEIN_DISTANCE,PERCENTAGE_DIFFERENCE
Mi tío vive en una granja.,El tío vive en la granja.,26,4,15.384615384615385
¿Fuiste al supermercado?,Fuiste al supermercado.,24,2,8.333333333333332
¿A cuál aeropuerto fuiste?,Antes de ir al aeropuerto ¿a cuál aeropuerto vas?,49,32,65.3061224489796
Descansa si te sientes cansado.,Debes descansar si te sientes cansado.,38,7,18.421052631578945
¿Cómo se llama tu maestra?,Tu maestra se llama.,26,20,76.92307692307693
Terminé la tarea.,Yo terminé la tarea.,20,4,20.0
¿Dónde estudias?,Estudias en donde.,18,15,83.33333333333334
Mañana iré a casa.,Mañana yo voy a ir a casa.,26,10,38.46153846153847
Cocinamos el desayuno.,Desayunamos cocinando.,22,15,68.18181818181817
Te llamé porque necesitaba hablar.,Antes te llamé porque necesitaba hablar contigo.,48,15,31.25
Ayer él leyó el libro.,Ayer él leyó el libro.,22,0,0.0
No estudié porque estaba cansado.,No estudié porque estaba cansado.,33,0,0.0
No hables con extraños.,No entiendo lo que quieres decir.,33,24,72.72727272727273
Él hizo ejercicio.,Él hizo ejercicio. ,19,1,5.263157894736842
Después de hacer ejercicio tomo agua.,Después de hacer ejercicio tomo agua.,37,0,0.0
No sé usar la computadora.,No sé usar la computadora.,26,0,0.0
¿Hoy fuiste a la piscina?,Hoy antes de ir a la piscina pregunta si tú quieres.,52,34,65.38461538461539
Llamé a mi amigo para invitarlo.,Yo llamé a mi amigo para invitarlo.,35,4,11.428571428571429
¿Cuándo aprendiste?,Tú aprendes cuándo preguntas.,29,21,72.41379310344827
Quería ir pero no tenía dinero.,Antes quise ir pero no tenía dinero.,36,10,27.77777777777778
No como carne.,Yo no como carne.,17,4,23.52941176470588
¿Cuántos libros tienes?,Tus libros ¿cuántas preguntas tienen?,37,22,59.45945945945946
Yo no trabajo.,No trabajo.,14,4,28.57142857142857
Espero que te sientas mejor pronto.,Espero que te sientas mejor pronto.,35,0,0.0
¿A dónde quieres viajar?,Quieres viajar a dónde.,24,19,79.16666666666666
Él escucha las noticias en el radio.,Él escucha las noticias en la radio.,36,2,5.555555555555555
Salí a correr.,Ayer salí a correr.,19,6,31.57894736842105
Mientras cocino escucho música.,Yo escucho música mientras cocino.,34,27,79.41176470588235
Fuiste al parque para caminar.,Fuiste al parque para caminar.,30,0,0.0
No entiendo.,No entiendo.,12,0,0.0
¿Cuándo es tu cumpleaños?,Tu cumpleaños ¿cuándo es?,25,20,80.0
Ella estudia inglés.,Ella estudia inglés.,20,0,0.0
Escoge un libro para leer.,Elije un libro para leer.,26,4,15.384615384615385
Todas las tardes los niños juegan en el parque.,Todos los niños juegan en el parque todas las tardes.,53,29,54.71698113207547
Me gustan los libros de miedo.,Me gustan los libros de miedo.,30,0,0.0
Los bomberos apagaron al incendio.,Los bomberos apagaron el incendio.,34,1,2.941176470588235
¿A qué hora es la reunión?,Hora de la reunión ¿pregunta?,29,20,68.96551724137932
No sé tocar el piano.,No sé tocar el piano.,21,0,0.0
Por favor cuando salgas apaga la luz.,Por favor cuando salgas apaga la luz.,37,0,0.0
¿Compraste el libro?,Compraste tu libro.,20,4,20.0
¿Qué quieres?,Quieres hacer una pregunta.,27,22,81.48148148148148
¿Visitaste el museo?,Visitaste un museo ¿verdad?,27,11,40.74074074074074
No corras en el pasillo.,No corras por el pasillo.,25,3,12.0
Ayer fuiste al hospital.,Ayer fuiste al hospital.,24,0,0.0
¿Llamaste a los policías?,Antes de llamar a la policía pregunta.,38,25,65.78947368421053
Ayer ella fue al mercado.,Ayer ella fue al mercado.,25,0,0.0
No me gusta el picante.,A mí no me gusta el picante.,28,6,21.428571428571427
Ayer no fui a la universidad.,Ayer no fui a la universidad.,29,0,0.0
Tomé clases para aprender inglés.,Yo tomé clases para aprender inglés.,36,4,11.11111111111111
La cena de anoche estuvo deliciosa.,Anoche cené una deliciosa cena.,35,23,65.71428571428571
Mi mamá está enferma.,Mi mamá está enferma. ,22,1,4.545454545454546
Espero que tengas un buen día.,Ojalá tengas un buen día.,30,10,33.33333333333333
¿Es grande la biblioteca?,La biblioteca es muy grande.,28,25,89.28571428571429
Los viernes mis amigos y yo salimos.,El viernes salgo con mis amigos.,36,18,50.0
Compra la entrada antes de ir al cine.,Debes comprar tu entrada antes de ir al cine.,45,10,22.22222222222222
¿Hoy comiste pizza?,Hoy comerás pizza.,19,6,31.57894736842105
Ayer él durmió en un hotel.,Ayer él durmió en el hotel.,27,2,7.4074074074074066
Cocinaremos el desayuno.,Nosotros cocinaremos el desayuno.,33,10,30.303030303030305
La tienda de ropa tiene descuentos.,La tienda tiene descuentos en ropa.,35,16,45.714285714285715
Espero que mañana no llueva.,Ojalá mañana no llueva.,28,10,35.714285714285715
Mi papá trabaja en un banco.,Mi papá trabaja en el banco.,28,2,7.142857142857142
Compré medicina para mi mamá.,Yo compré medicina para mamá.,29,7,24.137931034482758
¿Él irá a la oficina mañana?,Mañana él pregunta ir a la oficina.,35,26,74.28571428571429
¿Tu mamá está en el baño?,Tu mamá está en el baño.,25,2,8.0
Antes era grande ahora es pequeño.,Antes era grande ahora es pequeño.,34,0,0.0
Mi mejor amigo vive en otro país.,Mi mejor amigo vive en otro país.,33,0,0.0
Ellos irán al cine.,Ellos irán al cine.,19,0,0.0
Desayuna bien antes de ir a trabajar.,Desayuna bien antes de ir a trabajar.,37,0,0.0
La vida de los sordos es muy difícil.,La vida de los sordos es muy difícil.,37,0,0.0
