LENSEGUA,ESPAÑOL
antes yo querer correr pero cansado,Quería correr pero estaba cansado.
antes yo querer dormir pero no poder,Quería dormir pero no podía.
antes yo querer ir pero dinero tener no,Quería ir pero no tenía dinero.
antes yo querer ir pero ocupado,Quería ir pero estaba ocupado.
antes yo querer llamar tu pero tu número olvidar,Quería llamarte pero olvidé tu número.
antes yo querer salir pero cansado,Quería salir pero estaba cansado.
antes yo querer salir pero llover,Quería salir pero estaba lloviendo.
antes yo taxi llamar para aeropuerto ir,Llamé a un taxi para ir al aeropuerto.
aquí tu venir cómo pregunta,¿Cómo veniste aquí?
aquí yo conocer nadie,No conozco a nadie aquí.
árboles hojas verde tener,Los árboles tienen hojas verdes.
autopista yo carro chocar,Choqué mi carro en la autopista.
avión llegar ya pregunta,¿Ya llegó el avión?
ayer biblioteca yo libro interesante encontrar,Ayer encontré un libro interesante en la biblioteca.
ayer bicicleta arruinar,Ayer se arruinó mi bicicleta.
ayer boutique yo playera comprar,Ayer me compré una playera en la boutique.
ayer carro arruinar,Ayer se arruinó mi carro.
ayer casa yo ir,Ayer fui a casa.
ayer cine él ir,Ayer él fue al cine.
ayer cine ellos ir,Ayer ellos fueron al cine.
ayer cine tu ir,Ayer fuiste al cine.
ayer cine yo ir,Ayer fui al cine.
ayer clínica él ir,Ayer él fue a la clínica.
ayer clínica tu ir,Ayer fuiste a la clínica.
ayer clínica yo ir,Ayer fui a la clínica.
ayer colegio hija llegar no enfermo mucho,Ayer mi hija no llegó al colegio porque estaba muy enferma.
ayer él libro leer,Ayer él leyó el libro.
ayer él policía llamar,Ayer él llamó a la policía.
ayer él tarea hacer,Ayer él hizo la tarea.
ayer él vodka tomar,Ayer él tomó vodka.
ayer ella carta escribir,Ayer ella escribió una carta.
ayer ella comida preparar,Ayer ella preparó la comida.
ayer ella correo enviar,Ayer ella envió un correo.
ayer ella policía llamar,Ayer ella llamó a la policía.
ayer ella tarea hacer,Ayer ella hizo la tarea.
ayer ella vodka tomar,Ayer ella tomó vodka.
ayer ellos trabajo terminar,Ayer ellos terminaron el trabajo.
ayer hospital él ir,Ayer él fue al hospital.
ayer hospital tu ir,Ayer fuiste al hospital.
ayer hospital yo ir,Ayer fui al hospital.
ayer hotel él dormir,Ayer él durmió en el hotel.
ayer hotel él ir,Ayer él fue al hotel.
ayer hotel tu dormir,Ayer dormiste en el hotel.
ayer hotel tu ir,Ayer fuiste al hotel.
ayer hotel yo dormir,Ayer dormí en el hotel.
ayer hotel yo ir,Ayer fui al hotel.
ayer mansión yo dormir,Ayer dormí en la mansión.
ayer mercado él ir,Ayer él fue al mercado.
ayer mercado ella ir,Ayer ella fue al mercado.
ayer museo tu ir pregunta,¿Fuiste ayer al museo?
ayer nosotros juego ganar,Ayer ganamos el juego.
ayer nosotros película ver,Ayer vimos una película.
ayer parque yo perro pasear,Ayer paseé al perro en el parque.
ayer playa él ir,Ayer él fue a la playa.
ayer playa ellos ir,Ayer ellos fueron a la playa.
ayer playa tu ir,Ayer fuiste a la playa.
ayer playa tu ir pregunta,¿Fuiste ayer a la playa?
ayer playa yo ir,Ayer fui a la playa.
ayer tienda él ir,Ayer él fue a la tienda.
ayer tienda ella ir,Ayer ella fue a la tienda.
ayer tienda tu ir,Ayer fuiste a la tienda.
ayer tienda tu ropa comprar pregunta,¿Ayer compraste ropa en la tienda?
ayer tienda yo ir,Ayer fui a la tienda.
ayer tu casa limpiar,Ayer limpiaste la casa.
ayer tu comer qué pregunta,¿Qué comiste ayer?
ayer tu llamar amigo,Ayer llamaste a tu amigo.
ayer tu médica ir,Fuiste con la médica ayer.
ayer tu médico ir,Fuiste con el médico ayer.
ayer tu música escuchar,Ayer escuchaste música.
ayer tu película ver,Ayer viste la película.
ayer tu pizza comer pregunta,¿Comiste pizza ayer?
ayer tu plantas agua pregunta,¿Regaste las plantas ayer?
ayer tu policía llamar,Ayer llamaste a la policía.
ayer tu tarea hacer,Ayer hiciste la tarea.
ayer tu vodka tomar,Ayer tomaste vodka.
ayer yo abuela llamar tu pregunta,¿Ayer te llamó mi abuela?
ayer yo abuelo llamar tu pregunta,¿Ayer te llamó mi abuelo?
ayer yo amigo visitar,Ayer visité a un amigo.
ayer yo caminar parque,Ayer caminé en el parque.
ayer yo caminar playa,Ayer caminé en la playa.
ayer yo casa limpiar,Ayer limpié la casa.
ayer yo estofado comer,Ayer comí estofado.
ayer yo gato perder,Ayer se perdió mi gato.
ayer yo llaves encontrar no,Ayer no encontraba mis llaves.
ayer yo pizza comer,Ayer comí pizza.
ayer yo serpiente perder,Ayer se perdió mi serpiente.
ayer yo tarea completar,Ayer completé la tarea.
ayer yo ventana limpiar,Ayer limpié la ventana.
ayer zoológico niña juguete perder pregunta,¿Ayer la niña perdió un juguete en el zoológico?
ayer zoológico niño juguete perder pregunta,¿Ayer el niño perdió un juguete en el zoológico?
ayúdame por favor dinero dar yo,Ayúdame por favor dame dinero.
balón dónde pregunta,¿Dónde está el balón?
banco mamá trabajar,Mi mamá trabaja en un banco.
banco papá trabajar,Mi papá trabaja en un banco.
baño dónde pregunta,¿Dónde está el baño?
baño tu mamá estar pregunta,¿Está tu mamá en el baño?
baño tu papá estar pregunta,¿Está tu papá en el baño?
bebé dormir día,El bebé duerme en el día.
biblioteca estudiante libro buscar,El estudiante busca un libro en la biblioteca.
biblioteca grande pregunta,¿Es grande la biblioteca?
bomberos estar cerca,Los bomberos están cerca.
bomberos estar cerca pregunta,¿Los bomberos están cerca?
cabaña tu gustar pregunta,¿Te gusta la cabaña?
café caliente,El café está caliente.
café caliente pregunta,¿El café está caliente?
calculadora dónde pregunta,¿Dónde está la calculadora?
cama gato dormir,El gato duerme en la cama.
cama tu saltar no,No saltes en la cama.
cambio ser bueno,El cambio es bueno.
camisa precio cuánto pregunta,¿Cuánto cuesta la camisa?
cantar gustar pero hacer bien no,Me gusta cantar pero no lo hago bien.
carro gasolina gastar mucho,Mi carro gasta mucha gasolina.
carro hermano ser rápido mucho,El carro de mi hermano es muy rápido.
casa tu salir ya pregunta,¿Ya saliste de tu casa?
casa tuya pregunta,¿Es tuya la casa?
casa yo abuelos antigua mucho,La casa de mis abuelos es muy antigua.
cerebro estar confundió,Mi cerebro está confundido.
chocolate gustar pero poder comer no,Me gusta el chocolate pero no puedo comerlo.
cielo nublado hoy,Hoy el cielo está nublado.
científica trabajar dónde pregunta,¿Dónde trabaja la científica?
científico trabajar dónde pregunta,¿Dónde trabaja el científico?
cine nosotros película ver,Nosotros vemos una película en el cine.
cita hora pregunta,¿A qué hora es la cita?
cita médica hora pregunta,¿A qué hora es la cita médica?
ciudad tu vivir cuál pregunta,¿En cuál ciudad vives?
clase matemáticas aburrido mucho,La clase de matemáticas es muy aburrida.
clase tu teléfono usar no,No uses el teléfono en clase.
clínica ser buena pregunta,¿Es buena la clínica?
clínica doctor dónde pregunta,¿Dónde está la clínica del doctor?
clínica doctora dónde pregunta,¿Dónde está la clínica de la doctora?
cocina abuela pastel hornear,Mi abuela hornea un pastel en la cocina.
cocina tu mamá estar pregunta,¿Está tu mamá en la cocina?
cocina tu papá estar pregunta,¿Está tu papá en la cocina?
colegio cerca casa,El colegio está cerca de casa.
colegio tu nervioso sentir pregunta,¿Te sientes nervioso en el colegio?
colegio tu salir ya pregunta,¿Ya saliste del colegio?
comida guatemala gustar,Me gusta la comida guatemalteca.
comida italia gustar,Me gusta la comida italiana.
computadora nueva,La computadora es nueva.
computadora nueva pregunta,¿La computadora es nueva?
concierto boletos comprar dónde pregunta,¿Dónde puedo comprar boletos para el concierto?
concierto fecha cuándo pregunta,¿Cuándo es el concierto?
consultorio tu nerviosa sentir pregunta,¿Te sientes nerviosa en el consultorio?
cuando futuro primavera ser yo flores semilla,Cuando sea primavera plantaré flores.
cuando futuro tu ayuda necesitar yo venir,Cuando necesites ayuda yo vendré.
cuando futuro tu casa llegar tu llamar yo,Cuando llegues a tu casa llámame.
cuando futuro tu casar tu invitar yo,Cuando te cases me invitas.
cuando futuro tu salir tu puerta cerrar,Cuando salgas cierra la puerta
cuando futuro verano ser yo playa ir,Cuando sea verano iré a la playa.
cuando futuro yo cumpleaños yo fiesta hacer,Cuando cumpla años haré una fiesta.
cuando futuro yo graduar yo fiesta hacer,Cuando me gradúe haré una fiesta.
cuando futuro yo volver regalos traer,Cuando vuelva traeré regalos.
cuando pasado yo niño ser yo jugar mucho,Cuando era niño jugaba mucho.
cuando tu terminar tu avisar yo,Cuando termines avísame.
cuando yo café tomar yo poner nervioso,Cuando tomo café me pongo nervioso.
cuando yo tiempo libre yo llamar tu,Cuando tenga tiempo te llamaré.
cuñado triste mucho,Mi cuñado está muy triste.
después clase cafetería yo ir,Después de la clase voy a la cafetería.
después comer yo lavar platos,Después de comer lavo los platos.
después correr yo bañar,Después de correr me baño.
después despertar tu desayunar,Después de despertarte desayuna.
después ejercicio hacer yo tomar agua,Después de hacer ejercicio tomo agua.
después escuela hacer mi tarea,Después de la escuela hago mi tarea.
después examen nosotros descansar,Después del examen descansamos.
después película nosotros hablar,Después de la película hablamos.
después reunión yo llamar tu,Después de la reunión te llamo.
después trabajar yo ir ejercicio,Después del trabajo voy al gimnasio.
después ver partido nosotros cenar,Después del partido cenamos.
día cuál pregunta,¿Cuál día?
dios bendiga tu,Dios te bendiga.
dios bendiga tu muchos años vivir,Dios te bendiga y te de muchos años de vida.
dios bendiga usted,Dios lo bendiga.
dios bendiga usted muchos años vivir,Dios lo bendiga y le de muchos años de vida.
disculpar leer no lejos mucho,Disculpe no leo porque está muy lejos.
disculpar yo ver no,Disculpa no veo.
dispositivo funcionar cómo pregunta,¿Cómo funciona este dispositivo?
doctor dónde pregunta,¿Dónde está el doctor?
doctora dónde pregunta,¿Dónde está la doctora?
domingo maría clases cantar recibir,María recibe clases de canto los domingos.
domingos él basquetbol jugar,Él juega basquetbol los domingos.
domingos yo iglesia ir siempre,Los domingos siempre voy a la iglesia. 
dónde puerta emergencias pregunta,¿Dónde está la salida de emergencias?
dos días futuro concierto ser,El concierto es pasado mañana.
durante verano haber calor mucho,Durante el verano hay mucho calor.
duro aceptar guatemala intérprete no haber,Es duro aceptar que no haya intérpretes en Guatemala.
edificio alto,El edificio es alto.
edificio niveles tener muchos,El edificio tiene muchos niveles.
él alto pero jugar baloncesto no,Él es alto pero no juega baloncesto.
él corazón bien tener,Él tiene un buen corazón.
él desayuno cocinar,Él cocina el desayuno.
él electricista pregunta,¿Él es electricista?
él estudiar mientras ella música escuchar,Mientras él estudia ella escucha música.
él frío tener,Él tiene frío.
él fuerte pero rápido no,Él es fuerte pero no es rápido.
él guitarra tocar bien mucho,Él toca la guitarra muy bien.
él hambre tener,Él tiene hambre.
él inteligente,Él es inteligente.
él libro leer,Él lee un libro.
él medicina estudiar,Él estudia medicina.
él noticias escuchar radio,Él escucha las noticias en la radio.
él sed tener,Él tiene sed.
él sueño tener,Él tiene sueño.
él trabajar mientras ella descansar,Mientras él trabaja ella descansa.
él trabajar mucho pero ganar poco,Él trabaja mucho pero gana poco.
él trabajo llegar temprano siempre,Él siempre llega temprano al trabajo.
él tu maestro pregunta,¿Él es tu maestro?
él vivir lejos,Él vive lejos.
él yo diferente opiniones,Él y yo tenemos opiniones diferentes.
ella amable pero a veces abusivo,Ella es amable pero a veces es abusiva.
ella amable pero callado mucho,Ella es amable pero muy callada.
ella bonita pero tímido mucho,Ella es bonita pero muy tímida.
ella café caliente gustar no,A ella no le gusta el café caliente.
ella café gustar no porque amargo,A ella no le gusta el café porque es amargo.
ella calor gustar no,A ella no le gusta el calor.
ella cantar bien pero yo gustar no,Ella canta bien pero no me gusta.
ella carne comer no,Ella no come carne.
ella carro aprender,Ella está aprendiendo a manejar.
ella chocolate caliente gustar mucho,A ella le gusta mucho el chocolate caliente.
ella comida preparar,Ella prepara la comida.
ella frío gustar no,A ella no le gusta el frío.
ella fútbol gustar no,A ella no le gusta el fútbol.
ella gatos gustar no,A ella no le gustan los gatos.
ella idiomas aprender rápido,Ella aprende idiomas rápidamente.
ella ingeniería estudiar,Ella estudia ingeniería.
ella inteligente pero experiencia tener no,Ella es inteligente pero no tiene experiencia.
ella lluvia gustar no,A ella no le gusta la lluvia.
ella perro grande tener,Ella tiene un perro grande.
ella pescado gustar no,A ella no le gusta el pescado.
ella picante gustar no,A ella no le gusta el picante.
ella proyecto liderar,Ella lidera el proyecto
ella temprano levantar gustar no,A ella no le gusta levantarse temprano.
ellos proyecto presentar,Ellos presentan el proyecto.
ellos viaje planear,Ellos planean el viaje.
empresa internacional yo trabajar,Trabajo en una empresa internacional.
escuela niño lápiz usar,El niño usa un lápiz en la escuela.
escuela tu salir ya pregunta,¿Ya saliste de la escuela?
fácil ser no porque gastos haber mucho,No es fácil porque hay muchos gastos.
fin de semana maría cocinar siempre,María siempre cocina los fines de semana.
frente ventana gato dormir,El gato duerme enfrente de la ventana.
fútbol gustar pero baloncesto preferir,Me gusta el fútbol pero prefiero el baloncesto.
futuro abuela venir pronto,Mi abuela vendrá pronto.
futuro abuelo venir pronto,Mi abuelo vendrá pronto.
futuro casa yo ir,Iré a casa.
futuro cine ellos ir,Ellos irán al cine.
futuro diciembre ella casar,Ella se casará en diciembre.
futuro él comida comprar,Él comprará la comida.
futuro él desayuno cocinar,Él cocinará el desayuno.
futuro él libro leer,Él leerá el libro.
futuro ella arte estudiar,Ella estudiará arte.
futuro ella comida preparar,Ella preparará la comida.
futuro ella examen tener,Ella tendrá un examen.
futuro ellos carro comprar,Ellos comprarán un carro.
futuro ellos proyecto presentar,Ellos presentarán el proyecto.
futuro ellos trabajo terminar,Ellos terminarán el trabajo.
futuro maestro venir pronto,El maestro vendrá pronto.
futuro mañana tu comer qué pregunta,¿Qué comerás mañana?
futuro mar yo querer vivir cerca,Me gustaría vivir cerca del mar.
futuro montaña él subir pregunta,¿Él subirá la montaña?
futuro museo nosotros llegar cuándo pregunta,¿Cuándo llegaremos al museo?
futuro museo tu ir pregunta,¿Irás al museo?
futuro nosotros cena cocinar,Cocinaremos la cena.
futuro nosotros ciudad visitar,Visitarémos la ciudad.
futuro nosotros desayuno cocinar,Cocinaremos el desayuno.
futuro nosotros ejercicio hacer,Haremos ejercicio.
futuro nosotros equipo ser,Seremos un equipo.
futuro nosotros juego ganar,Ganaremos el juego.
futuro nosotros problema resolver,Resolveremos el problema.
futuro perfumería tu comprar qué pregunta,¿Qué vas a comprar en la perfumería?
futuro playa tu novia ir pregunta,¿Irás a la playa con tu novia?
futuro supermercado tu ir pregunta,¿Irás al supermercado?
futuro tienda ella ir,Ella irá a la tienda.
futuro tu boleto avión comprar,Comparás un boleto de avión.
futuro tu comer qué pregunta,¿Qué comerás?
futuro tu estar enojado pregunta,¿Estarás enojado?
futuro tu estar ocupado pregunta,¿Estarás ocupado?
futuro tu música escuchar,Escucharás música.
futuro tu película ver,Verás la película.
futuro tu regalo comprar qué pregunta,¿Qué regalo vas a comprar?
futuro tu tarea hacer,Harás la tarea.
futuro volcán tu subir pregunta,¿Subirás el volcán?
futuro yo bailar gustar aprender,Me gustaría aprender a bailar.
futuro yo comida perro comprar,Compraré comida de perro.
futuro yo desayuno cocinar,Cocinaré el desayuno.
futuro yo hablar ella,Hablaré con ella.
futuro yo lugar nunca olvidar,Nunca olvidaré ese lugar.
futuro yo persona nunca olvidar,Nunca olvidaré a esa persona.
futuro yo recuerdo nunca olvidar,Nunca olvidaré ese recuerdo.
futuro yo reunión poder asistir no,No podré asistir a la reunión.
futuro yo tarea terminar,Terminaré la tarea.
futuro yo tiempo familia estar querer más,Me gustaría estar más tiempo con mi familia.
futuro yo tranquilo sentir gustar aprender,Me gustaría aprender a meditar.
futuro yo verdad decir,Diré la verdad.
futuro yo viajar cuando curso terminar.,Viajaré cuando el curso termine.
garage bicicleta estar pregunta,¿Está la bicicleta en el garage?
gerente dónde pregunta,¿Dónde está el gerente?
gobierno apoyar no,El gobierno no apoya.
gracias información,Gracias por la información.
gramática sordo diferente,La gramática de los sordos es diferente.
haber carro mucho,Hay tráfico.
hermana medicina estudiar,Mi hermana estudia medicina.
hermana perro pequeño tener,Mi hermana tiene un perro pequeño.
hermano inteligente mucho,Mi hermano es muy inteligente.
hermano medicina estudiar,Mi hermano estudia medicina.
hijo sordo yo oyente,Mi hijo es sordo y yo soy oyente.
hola yo maría,Hola soy María.
hola yo pedro,Hola soy Pedro.
hola yo sordo josé,Hola soy José y soy sordo.
hola yo sordo maría,Hola soy María y soy sorda.
hora empezar clase pregunta,¿A qué hora comienza la clase?
hora qué pregunta,¿Qué hora es?
hora reunión pregunta,¿A qué hora es la reunión?
hora tu trabajo salir pregunta,¿A qué hora sales del trabajo?
hormigas mucho pregunta,¿Hay muchas hormigas?
hospital bueno pregunta,¿Es bueno el hospital?
hospital doctor pacientes atender,El doctor atiende pacientes en el hospital.
hotel cuarto vacío tener mucho,El hotel tiene muchas habitaciones disponibles.
hoy alumnos ocupados mucho,Los estudiantes están muy ocupados hoy.
hoy casa yo querer salir no,No quiero salir de casa hoy.
hoy cine estar cerrado,El cine está cerrado hoy.
hoy clase haber pregunta,¿Hay clase hoy?
hoy día qué pregunta,¿Qué día es hoy?
hoy ella sentir bien no,Ella no se siente bien hoy.
hoy fiesta haber pregunta,¿Hay fiesta hoy?
hoy noche yo fiesta querer ir no,No quiero ir a la fiesta esta noche.
hoy tarde tu hacer qué pregunta,¿Qué vas a hacer esta tarde?
hoy tu desayunar qué pregunta,¿Qué desayunaste hoy?
hoy tu día cómo pregunta,¿Cómo estuvo tu día?
hoy tu película ver cuál pregunta,¿Cuál película viste hoy?
hoy tu pizza comer pregunta,¿Comiste pizza hoy?
hoy tu plantas agua pregunta,¿Regaste las plantas hoy?
hoy tu sentir cómo pregunta,¿Cómo te sientes hoy?
hoy tu trabajo tener ir pregunta,¿Tienes que ir a trabajar?
hoy yo querer estudiar no,No quiero estudiar hoy.
hoy yo reunión importante tener,Hoy tengo una reunión importante.
hoy yo sentir bien no,No me siento bien hoy.
importante aprender lengua señas,Es importante aprender la lengua de señas.
importante saber matemáticas,Es importante saber matemáticas.
información falsa,La información es falsa.
intérpretes solo televisión trabajar para dinero ganar no para sordos ayudar,Los intérpretes solo trabajan en televisión para ganar dinero no para ayudar a los sordos.
invierno nieve caer,Cae nieve en el invierno.
jardín flores tener mucho,El jardín tiene muchas flores.
jardín flores oler bien,Las flores del jardín huelen bien.
jardín flores tener,El jardín tiene flores.
jardín jardinero flores regar,El jardinero riega las flores del jardín.
jardín mariposas haber,En el jardín hay mariposas.
jardín niño pelota jugar,El niño juega con su pelota en el jardín.
jardín pajaro haber pregunta,¿Hay un pájaro en el jardín?
jefe enojado,El jefe está enojado.
juego divertido mucho,El juego es muy divertido.
jueves él examen tener,Él tiene un examen el jueves.
jueves ella examen tener,Ella tiene un examen el jueves.
jueves yo examen tener,Tengo un examen el jueves.
julio yo cumpleaños,En julio es mi cumpleaños.
laboratorio cuaderno estar pregunta,¿Está el cuaderno en el laboratorio?
lago patos haber,En el lago hay patos.
lancha llegar ya pregunta,¿Ya llegó la lancha?
libro precio cuánto pregunta,¿Cuánto cuesta el libro?
libros miedo gustar,Me gustan los libros de miedo.
maestra enseñar hablar solo,La maestra solo enseña a hablar.
maestra pronto venir,La profesora viene pronto.
maestro venir pronto,El profesor viene pronto.
maestro ya aquí,El profesor ya vino.
mamá cocinar bien mucho,Mi mamá cocina muy bien.
mamá enferma,Mi mamá está enferma.
mamá feliz mucho,Mi mamá está muy feliz.
mamá pasteles gustar hacer,A mi madre le gusta hacer pasteles.
mañana biblioteca yo ir libros buscar,Mañana iré a la biblioteca a buscar libros.
mañana casa yo ir,Mañana iré a casa.
mañana cine ellos ir,Mañana ellos irán al cine.
mañana clase haber pregunta,¿Hay clase mañana?
mañana clase yo poder asistir no,Mañana no podré asistir a la clase.
mañana concierto,Mañana es el concierto.
mañana él libro leer,Mañana él leerá el libro.
mañana él vodka tomar,Mañana él tomará vodka.
mañana ella clase asistir pregunta ,¿Ella asistirá a clase mañana?
mañana ella comida preparar,Mañana ella preparará la comida.
mañana ellos proyecto presentar,Mañana ellos presentarán el proyecto.
mañana ellos trabajo terminar.,Mañana ellos terminarán el trabajo.
mañana fiesta haber pregunta,¿Hay fiesta mañana?
mañana nosotros juego ganar,Mañana ganaremos el juego.
mañana nosotros problema resolver,Mañana resolveremos el problema.
mañana oficina él ir pregunta,¿Él irá a la oficina mañana?
mañana outlet ella ir,Mañana ella irá a el outlet.
mañana playa ellos ir,Mañana ellos irán a la playa.
mañana tu casa limpiar,Mañana limpiarás la casa.
mañana tu clase tener pregunta,¿Tienes clase mañana?
mañana tu escuela ir pregunta,¿Mañana irás a la escuela?
mañana tú examen importante tener,Mañana tienes un examen importante.
mañana tu ir trabajar pregunta,¿Vas a trabajar mañana?
mañana tu querer hacer qué pregunta,¿Qué quieres hacer mañana?
mañana tu vodka tomar,Mañana tomarás vodka.
mañana universidad él ir,Mañana él irá a la universidad.
mañana universidad ella ir,Mañana ella irá a la universidad.
mañana universidad tu ir,Mañana irás a la universidad.
mañana universidad yo ir,Mañana iré a la universidad.
mañana yo casa limpiar,Mañana limpiaré la casa.
mañana yo cita tener,Mañana tengo una cita.
mañana yo examen tener,Mañana tengo un examen.
mañana yo feria ir,Mañana iré a la feria.
mañana yo supermercado ir,Mañana iré al supermercado.
mercado abrir temprano,El mercado abre temprano.
mercado mamá frutas comprar,Mi mamá compra frutas en el mercado.
mercado yo fruta fresca comprar,Compro fruta fresca en el mercado.
mes pasado yo carro nuevo comprar,El mes pasado me compré un carro nuevo.
mesa tu pies poner no,No pongas los pies sobre la mesa.
montaña nieve cubrir,La montaña está cubierta de nieve.
mudo decir no sordo decir sí,No se dice mudo se dice sordo.
muñeca tuya pregunta,¿Es tuya la muñeca?
museo dónde pregunta,¿Dónde está el museo?
museo grande,El museo es grande.
música suave gustar,Me gusta la música clásica.
no guerra sí paz,No a la guerra sí a la paz.
noche ayer cena delicioso,La cena de anoche estuvo deliciosa.
noche ayer yo película ver no,No vi la película anoche.
noche biblioteca cerrar,La biblioteca cierra en la noche.
noche caminar ser peligroso,Es peligroso caminar de noche.
noche ciudad peligrosa,La ciudad es peligrosa por la noche.
nosotros cena cocinar,Estamos cocinando la cena.
nosotros fiesta organizar para amigo,Nosotros organizamos una fiesta para un amigo.
nueve en punto tren llegar,El tren llega a las nueve en punto.
océano grande mucho,El océano es muy grande.
oficina secretaria computadora usar,La secretaria usa la computadora en la oficina.
ojalá avión bajar pronto,Espero que el vuelo aterrice pronto.
ojalá baño haber cerca,Espero que haya un baño cerca.
ojalá carro mucho no,Espero que no haya tráfico.
ojalá examen fácil,Espero que el examen sea fácil.
ojalá hoy carro mucho no,Ojalá hoy no haya tanto tráfico.
ojalá mañana llover no,Ojalá mañana no llueva.
ojalá policía venir pronto,Espero que el policía venga pronto.
ojalá problemas haber no,Espero que no haya problemas.
ojalá reunión ser útil,Espero que la reunión sea útil.
ojalá tarea ser fácil,Espero que la tarea sea fácil.
ojalá tu buen día tener,Espero que tengas un buen día.
ojalá tu gustar cosas comprar,Espero que disfrutes tu pedido.
ojalá tu gustar regalo,Espero que te guste el regalo.
ojalá tu mejorar pronto,Espero que te mejores pronto.
ojalá tu regresar,Espero que vuelvas.
ojalá tu sentir mejor pronto,Espero que te sientas mejor pronto.
ojalá tu sorpresa gustar,Espero que te guste la sorpresa.
ojalá tu teléfono encontrar,Espero que encuentres tu teléfono.
ojalá tu vacaciones disfrutar,Espero que disfrutes tus vacaciones.
opinión cada persona,Cada uno tiene su opinión.
otro año hermana casar,Mi hermana se casará el otro año.
otro país mejor amigo vivir,Mi mejor amigo vive en otro país.
padres casa grande vivir,Mis padres viven en una casa grande.
pajaros cantar mañana,Los pájaros cantan en la mañana.
panadería dónde pregunta,¿Dónde está la panadería?
panadería tu cerca estar pregunta,¿Estás cerca la panadería?
papá enojado mucho,Mi papá está muy enojado.
parada lejos pregunta,¿Está lejos la parada?
parque juegos tener mucho,El parque tiene muchos juegos.
parque perro correr,El perro corre en el parque.
parque tu gustar pregunta,¿Te gusta el parque?
pasada bus cerca mucho,La parada de bus está muy cerca.
pasado alumnos estar estudiando,Los alumnos estaban estudiando.
pasado avión llegar rápido,El avión llegó rápido.
pasado ayer museo tu ir pregunta,¿Fuiste ayer al museo?
pasado ayer perfumería tu comprar qué pregunta,¿Qué compraste ayer en la perfumería?
pasado ayer tu comer qué pregunta,¿Qué comiste ayer?
pasado ayer yo abuela llamar tu pregunta,¿Ayer te llamó mi abuela?
pasado ayer yo abuelo llamar tu pregunta,¿Ayer te llamó mi abuelo?
pasado banco tu ir pero cerrado,Fuiste al banco pero estaba cerrado.
pasado bomberos incendio apagar,Los bomberos apagaron al incendio.
pasado casa yo ir,Fui a casa.
pasado casa yo quedar porque frío haber,Me quedé en casa porque hacía frío.
pasado casa yo quedar porque yo cansado,Me quedé en casa porque estaba cansado.
pasado casa yo quedar porque yo querer salir no,Me quedé en casa porque no quería ir.
pasado casa yo salir no porque lluvia,No salí de casa porque estaba lloviendo.
pasado casa yo salir para aire,Salí de casa para tomar aire fresco.
pasado cine ellos ir,Ellos fueron al cine.
pasado cine tu novia ir pregunta,¿Fuiste al cine con tu novia?
pasado concierto yo ir pero gustar no,Fui al concierto pero no me gustó.
